"Date","Global","Electricite"
2013-01-01,98.71,88.46
2013-02-01,99,88.46
2013-03-01,99.77,88.46
2013-04-01,99.62,88.46
2013-05-01,99.67,88.95
2013-06-01,99.84,88.95
2013-07-01,99.5,88.95
2013-08-01,99.94,92.54
2013-09-01,99.7,92.54
2013-10-01,99.57,92.54
2013-11-01,99.52,92.54
2013-12-01,99.87,92.54
2014-01-01,99.26,95.11
2014-02-01,99.79,95.11
2014-03-01,100.25,95.11
2014-04-01,100.2,95.11
2014-05-01,100.23,95.11
2014-06-01,100.19,95.11
2014-07-01,99.87,95.11
2014-08-01,100.31,95.09
2014-09-01,99.92,95.09
2014-10-01,99.95,95.09
2014-11-01,99.78,96.96
2014-12-01,99.86,96.96
2015-01-01,98.85,99.24
2015-02-01,99.51,99.24
2015-03-01,100.17,99.24
2015-04-01,100.29,99.24
2015-05-01,100.53,99.24
2015-06-01,100.45,99.24
2015-07-01,100.03,99.24
2015-08-01,100.36,101.07
2015-09-01,99.95,101.07
2015-10-01,100.01,101.07
2015-11-01,99.81,101.07
2015-12-01,100.04,101.07
2016-01-01,99.07,103.26
2016-02-01,99.32,103.26
2016-03-01,100.02,103.26
2016-04-01,100.09,103.26
2016-05-01,100.51,103.26
2016-06-01,100.64,103.26
2016-07-01,100.26,103.26
2016-08-01,100.59,102.91
2016-09-01,100.35,102.91
2016-10-01,100.37,102.91
2016-11-01,100.36,102.91
2016-12-01,100.66,102.91
2017-01-01,100.41,102.91
2017-02-01,100.52,102.91
2017-03-01,101.14,102.91
2017-04-01,101.23,102.91
2017-05-01,101.28,102.91
2017-06-01,101.3,102.91
2017-07-01,100.94,102.91
2017-08-01,101.47,104.43
2017-09-01,101.3,104.43
2017-10-01,101.4,104.43
2017-11-01,101.47,104.47
2017-12-01,101.76,104.47
2018-01-01,101.67,104.64
2018-02-01,101.64,105.11
2018-03-01,102.42,105.11
2018-04-01,102.59,105.11
2018-05-01,103.06,105.11
2018-06-01,103.07,105.11
2018-07-01,102.96,105.11
2018-08-01,103.48,104.73
2018-09-01,103.25,104.73
2018-10-01,103.37,104.73
2018-11-01,103.14,104.73
2018-12-01,103.16,104.73
2019-01-01,102.67,104.82
2019-02-01,102.73,104.82
2019-03-01,103.43,104.82
2019-04-01,103.76,104.82
2019-05-01,103.86,104.82
2019-06-01,104.12,111.04
2019-07-01,103.91,111.04
2019-08-01,104.4,112.36
2019-09-01,104.04,112.36
2019-10-01,103.99,112.36
2019-11-01,103.92,112.36
2019-12-01,104.39,112.36
2020-01-01,103.94,112.46
2020-02-01,103.93,114.97
2020-03-01,103.85,114.96
2020-04-01,103.81,114.99
2020-05-01,103.95,114.99
2020-06-01,104.04,115.02
2020-07-01,104.44,115.03
2020-08-01,104.34,116.74
2020-09-01,103.8,116.74
2020-10-01,103.75,116.59
2020-11-01,103.86,116.6
2020-12-01,104.09,116.6
2021-01-01,104.24,116.73
2021-02-01,104.24,118.42
2021-03-01,104.89,118.45
2021-04-01,105,118.46
2021-05-01,105.34,118.56
2021-06-01,105.48,118.58
2021-07-01,105.55,118.63
2021-08-01,106.21,119.26
2021-09-01,105.97,119.33
2021-10-01,106.42,119.59
2021-11-01,106.82,120.48
2021-12-01,107.03,120.24
2022-01-01,107.3,121.24
2022-02-01,108.14,124.2
2022-03-01,109.7,125.6
2022-04-01,110.19,126.66
2022-05-01,110.95,126.25
2022-06-01,111.8,127.58
2022-07-01,112.11,128.36
2022-08-01,112.63,128.47
2022-09-01,111.99,132.04
2022-10-01,113.16,130.09
2022-11-01,113.53,132.35
2022-12-01,113.42,129.03
2023-01-01,113.86,125.01
2023-02-01,115.06,136.78
2023-03-01,115.92,139.46
2023-04-01,116.61,140.9
2023-05-01,116.54,140.51
2023-06-01,116.75,140.43
2023-07-01,116.81,140.38
2023-08-01,118,151.65
2023-09-01,117.37,153.27
2023-10-01,117.54,154.11
2023-11-01,117.33,153.62
2023-12-01,117.5,153.43
2024-01-01,117.16,154.07
2024-02-01,118.15,168.36
2024-03-01,118.4,167.87
2024-04-01,119.01,167.92
2024-05-01,119.05,167.92
2024-06-01,119.14,167.66
2024-07-01,119.37,167.77
2024-08-01,120.01,167.52
2024-09-01,118.5,167.68
2024-10-01,118.83,167.91
2024-11-01,118.66,168.25
2024-12-01,118.88,168.46
2025-01-01,119.01,168.33
